"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 00:36:06 GMT 2023","Mon Nov 06 00:36:07 GMT 2023","755","chromium","","login","","","validating number of buttons",""
"passed","Mon Nov 06 00:36:04 GMT 2023","Mon Nov 06 00:36:06 GMT 2023","1635","chromium","","login","","","validating number of links",""
"passed","Mon Nov 06 00:36:07 GMT 2023","Mon Nov 06 00:36:08 GMT 2023","799","chromium","","login","","","validating number of images",""
