"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 00:36:59 GMT 2023","Sun Oct 08 00:37:01 GMT 2023","1132","chromium","","login","","","validating number of links",""
"passed","Sun Oct 08 00:37:01 GMT 2023","Sun Oct 08 00:37:02 GMT 2023","700","chromium","","login","","","validating number of images",""
"passed","Sun Oct 08 00:37:01 GMT 2023","Sun Oct 08 00:37:01 GMT 2023","688","chromium","","login","","","validating number of buttons",""
