"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 00:36:44 GMT 2023","Sun Oct 15 00:36:45 GMT 2023","572","chromium","","login","","","validating number of images",""
"passed","Sun Oct 15 00:36:43 GMT 2023","Sun Oct 15 00:36:44 GMT 2023","987","chromium","","login","","","validating number of links",""
"passed","Sun Oct 15 00:36:44 GMT 2023","Sun Oct 15 00:36:44 GMT 2023","553","chromium","","login","","","validating number of buttons",""
