"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 07 00:33:33 GMT 2023","Sat Oct 07 00:33:33 GMT 2023","700","chromium","","login","","","validating number of images",""
"passed","Sat Oct 07 00:33:32 GMT 2023","Sat Oct 07 00:33:33 GMT 2023","704","chromium","","login","","","validating number of buttons",""
"passed","Sat Oct 07 00:33:28 GMT 2023","Sat Oct 07 00:33:32 GMT 2023","3693","chromium","","login","","","validating number of links",""
