"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 00:35:11 GMT 2023","Mon Oct 09 00:35:12 GMT 2023","669","chromium","","login","","","validating number of buttons",""
"passed","Mon Oct 09 00:35:12 GMT 2023","Mon Oct 09 00:35:12 GMT 2023","642","chromium","","login","","","validating number of images",""
"passed","Mon Oct 09 00:35:09 GMT 2023","Mon Oct 09 00:35:11 GMT 2023","1889","chromium","","login","","","validating number of links",""
