"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 01 00:38:43 GMT 2023","Sun Oct 01 00:38:46 GMT 2023","3156","chromium","","login","","","validating number of links",""
"passed","Sun Oct 01 00:38:46 GMT 2023","Sun Oct 01 00:38:47 GMT 2023","529","chromium","","login","","","validating number of buttons",""
"passed","Sun Oct 01 00:38:47 GMT 2023","Sun Oct 01 00:38:47 GMT 2023","506","chromium","","login","","","validating number of images",""
