"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 00:37:14 GMT 2023","Wed Nov 01 00:37:15 GMT 2023","1474","chromium","","login","","","validating number of links",""
"passed","Wed Nov 01 00:37:16 GMT 2023","Wed Nov 01 00:37:17 GMT 2023","812","chromium","","login","","","validating number of images",""
"passed","Wed Nov 01 00:37:15 GMT 2023","Wed Nov 01 00:37:16 GMT 2023","785","chromium","","login","","","validating number of buttons",""
