"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 00:34:23 GMT 2023","Fri Nov 03 00:34:24 GMT 2023","587","chromium","","login","","","validating number of buttons",""
"passed","Fri Nov 03 00:34:22 GMT 2023","Fri Nov 03 00:34:23 GMT 2023","1058","chromium","","login","","","validating number of links",""
"passed","Fri Nov 03 00:34:24 GMT 2023","Fri Nov 03 00:34:24 GMT 2023","629","chromium","","login","","","validating number of images",""
