"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 00:35:44 GMT 2023","Sun Sep 24 00:35:45 GMT 2023","965","chromium","","login","","","validating number of links",""
"passed","Sun Sep 24 00:35:45 GMT 2023","Sun Sep 24 00:35:46 GMT 2023","468","chromium","","login","","","validating number of images",""
"passed","Sun Sep 24 00:35:45 GMT 2023","Sun Sep 24 00:35:45 GMT 2023","498","chromium","","login","","","validating number of buttons",""
