"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 00:34:20 GMT 2023","Tue Oct 24 00:34:20 GMT 2023","725","chromium","","login","","","validating number of buttons",""
"passed","Tue Oct 24 00:34:18 GMT 2023","Tue Oct 24 00:34:20 GMT 2023","1422","chromium","","login","","","validating number of links",""
"passed","Tue Oct 24 00:34:20 GMT 2023","Tue Oct 24 00:34:21 GMT 2023","719","chromium","","login","","","validating number of images",""
