"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 12:13:48 GMT 2023","Fri Sep 15 12:13:49 GMT 2023","568","chromium","","login","","","validating number of images",""
"passed","Fri Sep 15 12:13:46 GMT 2023","Fri Sep 15 12:13:47 GMT 2023","1070","chromium","","login","","","validating number of links",""
"passed","Fri Sep 15 12:13:47 GMT 2023","Fri Sep 15 12:13:48 GMT 2023","593","chromium","","login","","","validating number of buttons",""
