"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 00:33:41 GMT 2023","Thu Oct 26 00:33:41 GMT 2023","700","chromium","","login","","","validating number of images",""
"passed","Thu Oct 26 00:33:38 GMT 2023","Thu Oct 26 00:33:40 GMT 2023","2185","chromium","","login","","","validating number of links",""
"passed","Thu Oct 26 00:33:40 GMT 2023","Thu Oct 26 00:33:41 GMT 2023","707","chromium","","login","","","validating number of buttons",""
