"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 02 00:34:01 GMT 2023","Thu Nov 02 00:34:01 GMT 2023","484","chromium","","login","","","validating number of buttons",""
"passed","Thu Nov 02 00:34:00 GMT 2023","Thu Nov 02 00:34:01 GMT 2023","751","chromium","","login","","","validating number of links",""
"passed","Thu Nov 02 00:34:01 GMT 2023","Thu Nov 02 00:34:02 GMT 2023","384","chromium","","login","","","validating number of images",""
