"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 00:34:23 GMT 2023","Thu Oct 05 00:34:24 GMT 2023","1411","chromium","","login","","","validating number of links",""
"passed","Thu Oct 05 00:34:24 GMT 2023","Thu Oct 05 00:34:25 GMT 2023","600","chromium","","login","","","validating number of buttons",""
"passed","Thu Oct 05 00:34:25 GMT 2023","Thu Oct 05 00:34:25 GMT 2023","632","chromium","","login","","","validating number of images",""
