"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 00:34:31 GMT 2023","Wed Nov 08 00:34:32 GMT 2023","1057","chromium","","login","","","validating number of links",""
"passed","Wed Nov 08 00:34:33 GMT 2023","Wed Nov 08 00:34:33 GMT 2023","573","chromium","","login","","","validating number of images",""
"passed","Wed Nov 08 00:34:32 GMT 2023","Wed Nov 08 00:34:33 GMT 2023","594","chromium","","login","","","validating number of buttons",""
