"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 28 00:33:04 GMT 2023","Sat Oct 28 00:33:07 GMT 2023","2417","chromium","","login","","","validating number of links",""
"passed","Sat Oct 28 00:33:07 GMT 2023","Sat Oct 28 00:33:08 GMT 2023","771","chromium","","login","","","validating number of buttons",""
"passed","Sat Oct 28 00:33:08 GMT 2023","Sat Oct 28 00:33:08 GMT 2023","730","chromium","","login","","","validating number of images",""
