"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 00:35:49 GMT 2023","Sat Dec 02 00:35:49 GMT 2023","471","chromium","","login","","","validating number of buttons",""
"passed","Sat Dec 02 00:35:45 GMT 2023","Sat Dec 02 00:35:49 GMT 2023","3279","chromium","","login","","","validating number of links",""
"passed","Sat Dec 02 00:35:49 GMT 2023","Sat Dec 02 00:35:50 GMT 2023","444","chromium","","login","","","validating number of images",""
