"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 00:35:10 GMT 2023","Fri Nov 24 00:35:11 GMT 2023","441","chromium","","login","","","validating number of buttons",""
"passed","Fri Nov 24 00:35:11 GMT 2023","Fri Nov 24 00:35:11 GMT 2023","432","chromium","","login","","","validating number of images",""
"passed","Fri Nov 24 00:35:08 GMT 2023","Fri Nov 24 00:35:10 GMT 2023","2357","chromium","","login","","","validating number of links",""
