"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 12 00:37:37 GMT 2023","Sun Nov 12 00:37:38 GMT 2023","538","chromium","","login","","","validating number of buttons",""
"passed","Sun Nov 12 00:37:36 GMT 2023","Sun Nov 12 00:37:37 GMT 2023","950","chromium","","login","","","validating number of links",""
"passed","Sun Nov 12 00:37:38 GMT 2023","Sun Nov 12 00:37:38 GMT 2023","533","chromium","","login","","","validating number of images",""
