"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 00:34:49 GMT 2023","Thu Nov 09 00:34:49 GMT 2023","450","chromium","","login","","","validating number of images",""
"passed","Thu Nov 09 00:34:46 GMT 2023","Thu Nov 09 00:34:48 GMT 2023","1910","chromium","","login","","","validating number of links",""
"passed","Thu Nov 09 00:34:48 GMT 2023","Thu Nov 09 00:34:49 GMT 2023","436","chromium","","login","","","validating number of buttons",""
