"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 00:36:37 GMT 2023","Tue Nov 21 00:36:38 GMT 2023","465","chromium","","login","","","validating number of buttons",""
"passed","Tue Nov 21 00:36:38 GMT 2023","Tue Nov 21 00:36:38 GMT 2023","444","chromium","","login","","","validating number of images",""
"passed","Tue Nov 21 00:36:36 GMT 2023","Tue Nov 21 00:36:37 GMT 2023","812","chromium","","login","","","validating number of links",""
