"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 00:39:15 GMT 2023","Sun Nov 26 00:39:17 GMT 2023","1864","chromium","","login","","","validating number of links",""
"passed","Sun Nov 26 00:39:17 GMT 2023","Sun Nov 26 00:39:17 GMT 2023","543","chromium","","login","","","validating number of buttons",""
"passed","Sun Nov 26 00:39:17 GMT 2023","Sun Nov 26 00:39:18 GMT 2023","562","chromium","","login","","","validating number of images",""
